number,name,jieshao,city,xiaoge,xiaoxun,dress,x,y
1,武汉大学,武汉大学（Wuhan University），简称“武大”，是由中华人民共和国教育部直属的全国重点大学，是国家首批“双一流”建设高校，985工程、211工程重点建设高校；入选2011计划、111计划、珠峰计划、卓越医生教育培养计划、卓越法律人才教育培养计划、卓越工程师教育培养计划、新工科研究与实践项目、国家级大学生创新创业训练计划、国家大学生创新性实验计划、国家建设高水平大学公派研究生项目、全国深化创新创业教育改革示范高校、中国政府奖学金来华留学生接收院校、首批一流网络安全学院建设示范项目高校、首批学位授权自主审核单位。,武昌区,《武汉大学校歌》,自强、弘毅、求是、拓新,湖北省武汉市珞珈山街道八一路299号,114.372921,30.543803
2,中南财经政法大学,中南财经政法大学（Zhongnan University of Economics and Law）是中华人民共和国教育部直属的一所以经济学、法学、管理学为主干，兼有哲学、文学、史学、理学、工学、艺术学等九大学科门类的重点大学，由教育部、财政部和湖北省人民政府三方共建，是国家“211工程”、“985工程优势学科创新平台”项目重点建设高校，是国家“世界一流学科建设高校”，入选国家“2011计划”、“111计划”、教育部人文社科重点研究基地、国家建设高水平大学公派研究生项目、卓越法律人才教育培养计划、国家级大学生创新创业训练计划、新工科研究与实践项目、中国政府奖学金来华留学生接收院校、全国毕业生就业典型经验高校、全国高校实践育人创新创业基地，,洪山区,《中原大学两周年纪念歌》,博文明理 厚德济世,湖北省武汉市东湖高新技术开发区南湖大道182,114.392245,30.480519
3,华中科技大学,华中科技大学（Huazhong University of Science and Technology）位于湖北省武汉市，是中华人民共和国教育部直属的综合性研究型全国重点大学、中央直管副部级高校，位列国家首批“双一流”、“985工程”、“211工程”，21世纪学术联盟、国际应用科技开发协作网、中俄工科大学联盟、中欧工程教育平台、七校联合办学、全球能源互联网大学联盟成员高校，入选“111计划”、卓越工程师教育培养计划、卓越医生教育培养计划、湖北省2011计划、国家大学生创新性实验计划、国家级大学生创新创业训练计划、国家建设高水平大学公派研究生项目、新工科研究与实践项目、全国深化创新创业教育改革示范高校、中国政府奖学金来华留学生接收院校、教育部来华留学示范基地、国家大学生文化素质教育基地、学位授权自主审核单位，是与国家卫生和计划生育委员会共建医学院的十所院校之一，是拥有国家大科学中心的四所大学之一，入选《Nature》评出的“中国十大科研机构”，被称作“新中国高等教育发展的缩影”。,洪山区,《华中科技大学校歌》,明德、厚学、求是、创新,湖北省武汉市洪山区珞喻路1037号,114.419826,30.518754
4,武汉理工大学,武汉理工大学是首批列入国家“211工程”重点建设的教育部直属全国重点大学，首批列入世界一流学科建设高校，教育部和交通运输部、国家国防科技工业局共建高校，入选985工程优势学科创新平台、111计划、卓越工程师教育培养计划、国家建设高水平大学公派研究生项目、国家大学生创新性实验计划、新工科研究与实践项目、中国政府奖学金来华留学生接收院校、国家大学生文化素质教育基地。,洪山区,《卓越之歌》,厚德博学，追求卓越,湖北省武汉市洪山区珞狮路122号,114.349628,30.519466
5,中国地质大学,中国地质大学简称地大，是由中华人民共和国教育部直属，国土资源部共建的一所以地球系统科学为主体，应用科学、前沿科学，以及新兴交叉学科协调发展的全国重点大学。系国家“211工程”、“985工程优势学科创新平台”重点建设，世界一流学科建设高校，列入国家建设高水平大学公派研究生项目、“111计划”、卓越工程师教育培养计划、中国政府奖学金来华留学生接收院校、首批高等学校科技成果转化和技术转移基地，是国家批准设立研究生院的大学，高水平行业特色大学优质资源共享联盟、地球科学国际大学联盟、“七校联合办学”重要成员，被誉为“中国地球科学的最高学府”。,洪山区,《勘探队员之歌》,艰苦朴素，求真务实,湖北省武汉市洪山区鲁磨路388号,114.408533,30.525762
6,华中农业大学,华中农业大学（Huazhong Agricultural University），简称“华农”，坐落于湖北省武汉市南湖狮子山脚，是中国教育部直属的一所以生命科学为特色，农、理、工、文、法、经、管协调发展的全国重点大学，国家首批世界一流大学和一流学科高校、211工程、985工程优势学科创新平台重点建设院校，入选高等学校学科创新引智计划、卓越工程师教育培养计划、卓越农林人才教育培养计划、新工科研究与实践项目、首批高等学校科技成果转化和技术转移基地，为武汉七校联合办学成员。,洪山区,《华中农业大学校歌》,勤读力耕、立己达人,湖北省武汉市洪山区狮子山街1号,114.363708,30.48178
7,华中师范大学,华中师范大学（Central China Normal University）简称“华中师大”或“华大”，位于湖北省会武汉，是中华人民共和国教育部直属重点综合性师范大学，国家“211工程”、“985工程优势学科创新平台”重点建设院校，国家首批“双一流”世界一流学科建设高校，入选国家“2011计划”、“111计划”、海外高层次人才引进计划、国家建设高水平大学公派研究生项目、国家大学生文化素质教育基地、中国政府奖学金来华留学生接收院校、教育部来华留学示范基地，中日人文交流大学联盟创始高校，武汉七校联合办学成员，全国首批博士、硕士学位授予单位，国家师范生免费教育试点高校，是国家培养中、高等学校师资和其他高级专门人才的重要基地。,洪山区,《华中师范大学校歌》,求实创新、立德树人,湖北省武汉市洪山区珞喻路152号,114.367216,30.524004
8,中南民族大学,中南民族大学（South-Central Minzu University），简称中南民大（SCMZU），位于湖北省武汉市，是中华人民共和国国家民族事务委员会直属高校，为中国“少数民族骨干计划”资格高校、全国深化创新创业教育改革示范高校、中国高校行星科学联盟、湖北省“国内一流大学建设高校”，是国家民委、教育部、中国科学院、湖北省人民政府、武汉市人民政府五方共建高校。,洪山区,《中南民族大学校歌》,笃信好学，自然宽和,湖北省武汉市洪山区民族大道182号,114.399395,30.491874
9,湖北大学,湖北大学（Hubei University）简称湖大（HUBU），坐落于湖北省武汉市，是湖北省人民政府与教育部共建的省属重点综合性大学，也是国家“中西部高校基础能力建设工程”高校、湖北省“双一流”建设高校，入选国家“111计划”、教育部“数据中国百校工程”首批试点高校、国家级大学生创新创业训练计划、新工科研究与实践项目、中国政府奖学金来华留学生接收院校、全国深化创新创业教育改革示范高校、国家大学生文化素质教育基地、国家创新人才培养示范基地、湖北省2011计划牵头单位、湖北省最佳文明单位，中国旅游名校T10联盟成员，教育部和英国大使馆批准设立的湖北省唯一的雅思（IELTS）考试考点单位。,武昌区,湖北大学之歌,日思日睿，笃志笃行,武汉市武昌区友谊大道368号,114.340713,30.58292
10,武汉科技大学,武汉科技大学（Wuhan University of Science and Technology?）是中华人民共和国教育部、湖北省人民政府、宝钢集团有限公司、鞍山钢铁集团公司、武汉钢铁（集团）公司、首钢集团、中国冶金科工集团有限公司、中国中钢集团公司共同参与建设的省部共建大学?，是国家“中西部高校基础能力建设工程”入选高校，湖北省“双一流”重点建设高校，国家”111计划“、教育部”卓越工程师教育培养计划“、”新工科研究与实践项目“（卓越工程师教育培养计划2.0）实施高校、首批高等学校科技成果转化和技术转移基地，全国深化创新创业教育改革示范高校，教育部本科教育评估优秀高校，湖北省省属重点综合性大学，拥有湖北省属高校第一个国家重点实验室，第一个国家工程研究中心。,青山区,《武汉科技大学校歌》,厚德博学 崇实去浮,湖北省武汉青山区和平大道947号,114.377073,30.630321
